qid,query,answer_norm,comments,category,instances_req,qualifier_req,time_variant,all_instances_req,has_complete_GT
8119,how many cng pump in gorakhpur,21,,industry,1,1,0.75,1,0
8254,how many dhq in pakistan,34,,organization,1,1,1,1,0
8758,how many episodes of handmaid's tale,46,,entertainment,1,1,1,1,0
8806,how many opm episodes are there,24,,entertainment,1,1,1,1,0
8817,how many orville episodes are there,26,In google KG ,entertainment,1,1,1,1,0
9941,how many members does mnl48 have,45,,entertainment,1,1,1,1,0
11298,how many ikea's are in the us,52,,organization,1,1,1,1,0
11578,how many rick and morty episodes,51,,entertainment,1,1,1,1,0
9622,how many koch brothers,4,instances available,pop culture,1,1,0,1,0
10217,how many peter pan movies are there,5,"has semantic qualifiers, adaptaion vs series",entertainment,1,1,0,1,0
9054,how many stops euston to london bridge,6,,infrastructure,1,1,0,1,0
7685,how many abyssian exam pass,5,,entertainment,1,0,0.25,1,0
8746,how many odf states in india,7,no authoratative site,demography,1,1,0.25,1,0
9670,how many panchayat in kujang block,1,"no count available, instance will be helpful",administration,1,1,0.25,1,0
8653,how many presidents named william,4,,pop culture,1,1,0.75,1,0
10325,how many pwc offices in australia,9,"by entities, no counts",organization,1,0,0.75,1,0
10439,how many rixos in dubai,4,,organization,1,0,0.75,1,0
10481,how many rspca shelters are there in australia,15,"Difficult, aggregated answer not available, individual member shelters from wikipedia page",organization,1,1,0.75,1,0
9832,how many main islands in hawaii,8,,geography,1,1,0.75,1,0
7234,how many seats jsp won in 2019,1,,politics,1,1,1,1,0
7351,how many albums does eminem have,16,multiple counts for semantic qualifiers,entertainment,1,1,1,1,0
8152,how many cpm mla in west bengal,26,"count unavailable, instances may be helpful, time-bound",politics,1,1,1,1,0
8812,how many orphanages in the us,0,,organization,1,1,1,1,0
8819,how many osmond brothers are still alive,2,"Count not available, instances helpful",pop culture,1,1,1,1,0
9858,how many mcu movies is captain america in,11,,entertainment,1,1,1,1,0
9943,how many seats mns won,1,,politics,1,1,1,1,0
10910,how many seats vba won in vidhan sabha,0,,politics,1,1,1,1,0
8384,how many icc trophies does india have,5,,sports,1,0,1,1,0
7176,how many dbqs are on the apush exam 2020,1,,education,0,1,0,1,0
9548,how many evolutions does kecleon have,0,,entertainment,0,0,0,1,0
7881,how many azs in us-east-1,6,,organization,0,1,0.75,1,0
7222,how many fbi agents are there 2020,13233,,organization,1,1,0,0,0
7230,how many homicides in milwaukee 2019,98,,demography,1,0,0,0,0
8798,how many onomatopoeia in japanese,1000,,language,1,1,0,0,0
9520,how many kayle in tft,,Non-entity,entertainment,1,0,0,0,0
10189,how many nolan ryan rookie cards exist,132,,sports,1,1,0,0,0
10801,how many ugg brands in australia,,different user intent-fake brands,organization,1,0,0,0,0
10796,how many rashtriy udyan in india,104,"list available, time-bound",geography,1,1,0.25,0,0
9631,how many korean words are there,1100373,,language,1,1,0.25,0,0
8526,how many islands are in the galapagos,21,,geography,1,1,0.25,0,0
8160,how many crm companies are there,73,"instances In wikipedia, counts are not available",industry,1,1,0.75,0,0
8379,how many ibis hotels in paris,50,,organization,1,0,0.75,0,0
8696,how many kv schools in haryana,56,,infrastructure,1,1,0.75,0,0
8804,how many ophthalmology practices are there in the us,18500,multiple counts,industry,1,1,0.75,0,0
8940,how many eating utensils are in the white house,,Non-entity,other,1,1,0.75,0,0
10022,how many mvnos in the us,139,,industry,1,1,0.75,0,0
7481,how many mayors in new york,110,"list available in wikipedia, time-bound",politics,1,1,1,0,0
7496,how many nba players have coronavirus,,"has entities, multiple counts, time-bound",sports,1,1,1,0,0
7895,how many bars are in milwaukee,3043,,industry,1,1,1,0,0
7903,how many big bazaar stores in india,259,,organization,1,1,1,0,0
8092,how many restaurants does coke have,,"instances (costa coffee) may be helpful, count unavailable",industry,1,1,1,0,0
8128,how many coke stocks are there,11200000000,finance,other,1,1,1,0,0
8294,how many dnc members are there,200,,politics,1,1,1,0,0
8413,how many ied attacks in afghanistan,21637,Time-bound,news,1,1,1,0,0
8652,how many nsli semifinalists are there,200,"range, only approx",politics,1,0,1,0,0
8916,how many cases of cjd in uk,65,"Time-bound, muliple counts by year",demography,1,1,1,0,0
8919,how many dwcra groups are there in india,1000000,not enough information,organization,1,1,1,0,0
8989,how many elton john albums are there,79,"aggregation not available, list of album categories with counts available",entertainment,1,1,1,0,0
9200,how many gacha life youtubers are there,146,Time-bound,entertainment,1,1,1,0,0
9349,how many hibbett sports stores are there,1082,from google KG,organization,1,1,1,0,0
9741,how many students at liu post,15546,,education,1,1,1,0,0
9871,how many mdrt in singapore,4876,Not available in result snippet. https://www.mdrt.org/globalassets/2-2021-top-10-countries-by-members.pdf,organization,1,1,1,0,0
10625,how many students at harvard,23731,,demography,1,1,1,0,0
11439,how many govt schools in delhi,2400,,infrastructure,1,1,1,0,0
11548,how many peugeot dealers are there in the uk,179,old number,industry,1,1,1,0,0
10482,how many rss shakha in kerala,6845,,news,1,0,1,0,0
10593,how many snc employees in canada,37584,,organization,1,1,1,0,0
9744,how many students attend liu brooklyn,8170,,education,1,1,1,0,0
10830,how many artists does umg have,,,entertainment,1,1,1,0,0
10483,how many rss workers killed in kerala,120,,news,1,1,1,0,0
7832,how many athletes does nike sponsor,,,sports,1,1,1,0,0
9367,how many hospitals are in the united states,6146,,infrastructure,1,1,1,0,0
8291,how many dnb seats in india,9795,,infrastructure,1,1,1,0,0
7605,how many uighurs are there in china,12000000,,demography,1,1,1,0,0
7414,how many gun owners in texas,29000000,,demography,1,1,1,0,0
10395,how many real estate agents in ohio,13866,,demography,1,0,1,0,0
9067,how many employees does ewtn have,300,,organization,1,1,1,0,0
9745,how many live in new york,8600000,,demography,1,1,1,0,0
8729,how many companies on nzx,184,,finance,1,0,1,0,0
11445,how many hmong in china,3000000,,demography,1,1,1,0,0
9145,how many floors are in the white house,,,infrastructure,0,1,0,0,0
7598,how many times was breonna taylor shot,6,,news,0,0,0,0,0
10587,how many trains does mrt have,579,,industry,0,1,0.75,0,0
7265,how many ppv buys for ufc 250,90000,,industry,0,1,1,0,0
7650,how many jeep yj were made,557412,,industry,0,1,1,0,0
8075,how many cajuns in louisiana,815259,,demography,0,1,1,0,0
8174,how many cases of corona in ohio,2630000,Time-bound,demography,0,1,1,0,0
8357,how many hygienists per dentist in virginia,3,,demography,0,1,1,0,0
8633,how many nri in canada,1780000,Time-bound,demography,0,1,1,0,0
8861,how many honda cbx were made,41000,"one serac result answer, without aggregation",industry,0,1,1,0,0
9311,how many students in gwinnett county schools,188000,,demography,0,1,1,0,0
9511,how many kaepernick shoes were sold,,,other,0,1,1,0,0
10274,how many population in texas,29000000,Time-bound,demography,0,1,1,0,0
10282,how many positive cases in florida today,5750000,Time-bound,demography,0,1,1,0,0
10810,how many uk citizens are there,67880000,,demography,0,1,1,0,0
10822,how many ukrainian soldiers have died,4629,,news,0,1,1,0,0
10961,how many employees does vmc have,108,,organization,0,1,1,0,0
10965,how many covid cases in houston,6470000,Time-bound,demography,0,1,1,0,0
11116,how many confirmed cases of covid-19 in michigan,2330000,Time-bound,demography,0,1,1,0,0
7827,how many atb assist materia,,Non-entity,entertainment,0,0,0.25,0,0
