qid,query,answer_norm,category,time_variant,snippet_has_instances,snippet_has_qualifier,instances_req,all_instances_req,has_complete_GT,qualifier_req
756,how many circuit courts are there in the us,12,administration,0,0,1,1,1,1,1
6030,how many zones are in eritrea,6,administration,0.25,0,1,1,1,1,1
4035,how many opm ovas are there,6,entertainment,1,0,1,1,1,1,1
1000,how many deserts are in the us,4,geography,0,4,1,1,1,1,1
6037,how many zones was germany divided into,4,history,0,4,1,1,1,1,1
3616,how many methods of ndt are there,6,industry,0,6,1,1,1,1,1
4667,how many sacraments are there in the catholic church,7,literature,0,0,1,1,1,1,1
5096,how many territories does canada have,3,administration,0,0,0,1,1,1,0
5922,how many sons did yuyutsu have,101,culture,0,1,0,1,1,1,1
3273,how many mcu movies was robert downey jr in,2008,entertainment,0.25,1,0,1,1,1,1
4003,how many eminem albums went diamond,2,entertainment,0.75,1,1,1,1,1,0
2275,how many inactive volcanoes are in hawaii,2,geography,0,1,1,1,1,1,1
249,how many aqueducts did rome have,11,history,0,0,0,1,1,1,0
5090,how many tribes of israel,12,history,0,0,0,1,1,1,0
1573,how many fleets in the us navy,7,infrastructure,0.25,0,1,1,1,1,0
4938,how many terminals at sxf,5,infrastructure,0,0,0,1,1,1,0
1209,how many ghosts visit ebenezer scrooge,4,literature,0,1,0,1,1,1,0
2889,how many knights of ren are there,6,literature,0.25,1,0,1,1,1,1
1879,how many airports in hcmc,1,organization,0,1,1,1,1,1,0
3011,how many airports in kiev,3,organization,0.25,1,1,1,1,1,1
3235,how many mafias are there in italy,4,organization,1,1,1,1,1,1,1
3005,how many belts in taekwondo,9,sports,0,1,1,1,1,1,1
2679,how many belts are there in jiu jitsu,8,pop cultutre,0,1,1,1,1,1,1
3013,how many kylie jean books are there,8,literature,1,0,1,1,1,1,1
3503,how many mvps does kobe bryant have,5,sports,0,2,1,1,1,1,1
5,how many aiims in india,13,infrastructure,1,0,0,1,1,1,0
896,how many csu campuses are there in california,23,education,0.25,0,0,1,1,1,0
3940,how many episodes of dublin murders,8,entertainment,0,0,0,1,1,0,0
1631,how many ftas does south korea have,18,administration,0.75,0,1,1,1,0,1
1311,how many countries speak english,27,demography,1,0,1,1,1,0,1
2748,how many kazon sects are there,18,entertainment,0,1,0,1,1,0,1
1995,how many hof did kobe play with,8,sports,0,0,0,1,1,0,1
3794,how many villages in nsukka,4,administration,0.25,1,1,1,1,0,1
2215,how many iits in india 2020,23,education,0,1,0,1,1,0,0
1109,how many provinces in drc,25,geography,0,0,0,1,1,0,0
4859,how many southern states seceded,11,history,0,0,0,1,1,0,0
3300,how many medical schools in texas,14,infrastructure,0.75,1,0,1,1,0,1
542,how many books in the catholic bible,27,literature,0,0,0,1,1,0,1
5072,how many tokyo ghoul re volumes are there,16,literature,0,0,1,1,1,0,1
208,how many anheuser busch breweries are there,12,organization,1,0,1,1,1,0,1
4837,how many ann taylor stores in canada,2800,organization,1,0,0,1,1,0,1
5142,how many temples in utah,17,organization,0.75,0,1,1,1,0,1
4921,how many supreme court judges are there,6,politics,1,0,0,1,1,0,1
3400,how many mozart piano sonatas,18,pop culture,0,0,1,1,1,0,1
4583,how many rovers are currently on mars,4,science,1,1,0,1,1,0,1
1643,how many funerals for george floyd,4,social,0,1,1,1,1,0,1
3614,how many nfl players are from connecticut,25,sports,1,0,0,1,1,0,1
3635,how many nfl stadiums are there,30,sports,0.75,1,1,1,1,0,1
602,how many buzzer beaters does jordan have,9,sports,0,0,1,1,1,0,1
945,how many czech players in nhl,40,sports,1,0,1,1,1,0,1
1305,how many rings does elway have,2,sports,0,0,1,1,1,0,1
4373,how many qurans,20,literature,0,2,1,1,1,0,1
2607,how many jr stations in tokyo,5,organization,0.75,0,1,1,1,0,1
5098,how many commissioners does tsc have,9,organization,0.25,0,1,1,1,0,1
6042,how many varieties of zoysia grass are there,3,science,0,3,1,1,1,0,1
3848,how many nxt championships are there,17,sports,0,0,1,1,1,0,1
5410,how many vatican museums are there,54,architecture,0.25,2,0,1,1,0,1
2439,how many jails are in virginia,41,administration,1,0,1,1,1,0,1
1113,how many drdo centre are there in india,50,organization,1,0,1,1,1,0,1
2169,how many ifrs standards are notified in india,41,organization,1,0,0,1,1,0,1
4000,how many ombudsman in australia,7,administration,0.75,1,1,1,1,0,1
1466,how many faa centers are there,21,organization,0,0,1,1,1,0,0
5127,how many dams does tva have,49,organization,1,0,0,1,1,0,1
1679,how many gay nfl players are there,6,sports,1,0,1,1,1,0,1
2569,how many isa can you have,4,administration,0.25,0,1,1,1,0,1
1404,how many ethnic groups in china,56,demography,0.25,0,1,1,0,0,1
1949,how many hiqa standards are there,60,administration,0.75,0,1,1,0,0,1
4929,how many sworn officers in lapd,9000,demography,1,0,1,1,0,0,1
1560,how many fijian islands are there,300,geography,0.25,1,1,1,0,0,1
1847,how many hawaiian islands are there total,137,geography,0.25,5,1,1,0,0,1
2338,how many irish died in the famine,1000000,history,0,0,1,1,0,0,1
4787,how many skoda dealers in the uk,12,industry,1,0,1,1,0,0,1
958,how many dams are in china,22104,infrastructure,1,0,1,1,0,0,1
1826,how many schools in gwinnett county,143,infrastructure,1,0,1,1,0,0,1
2483,how many jci accredited hospitals in india,38,infrastructure,1,0,1,1,0,0,1
4753,how many shlokas in valmiki ramayana,24000,literature,0,0,1,1,0,0,1
5389,how many us soldiers died in iraq,4424,news,0,0,1,1,0,0,1
475,how many bhs stores in uk,163,organization,1,0,1,1,0,0,1
1671,how many gap inc stores are there,3300,organization,1,0,1,1,0,0,1
3079,how many lee's chicken locations are there,135,organization,1,0,1,1,0,0,1
3591,how many telstra stores in australia,360,organization,1,0,1,1,0,0,1
3951,how many eagle scouts per year,47582,organization,1,0,1,1,0,0,1
5017,how many tgi fridays are there in the us,900,organization,1,3,1,1,0,0,1
4621,how many rtc in the philippines,580,administration,0.25,0,0,1,0,0,1
4030,how many ophthalmologists in the united states,23861,demography,1,0,0,1,0,0,0
2010,how many jobs does barbie have,200,entertainment,0.75,3,0,1,0,0,0
4020,how many oompa loompas are in charlie and the chocolate factory,165,entertainment,0,1,0,1,0,0,1
3035,how many lakes in colorado,4000,geography,0.25,0,0,1,0,0,1
2141,how many members does iehp have,1250000,industry,1,0,0,1,0,0,1
4817,how many small businesses in florida,2500000,industry,1,0,0,1,0,0,1
5357,how many utcs are there in the uk,14000,infrastructure,1,0,0,1,0,0,1
427,how many bcf stores in australia,115,organization,1,0,0,1,0,0,0
818,how many employees does cn have,24000,organization,1,0,0,1,0,0,1
2123,how many idbi branches in tamilnadu,84,organization,1,0,0,1,0,0,0
3802,how many nato troops are in afghanistan,17000,organization,0.25,0,0,1,0,0,1
5298,how many uob branches in indonesia,188,organization,1,0,0,1,0,0,1
5366,how many branches of utkarsh bank in india,499,organization,1,0,0,1,0,0,1
3871,how many floats nyx,44,pop cultutre,1,0,0,1,0,0,1
2134,how many ieee fellows are there,5082,science,1,0,0,1,0,0,1
2832,how many kibbutzim are in israel,270,administration,1,0,0,1,0,0,1
3107,how many lgas in australia,537,administration,0.25,0,1,1,0,0,1
3113,how many lgas in nsw,128,administration,0.25,0,0,1,0,0,0
3196,how many types of italian pastas are there,350,culture,0.25,0,1,1,0,0,1
1670,how many gangs are in the us,33000,demography,1,0,1,1,0,0,1
2413,how many iwo jima vets still living,27,demography,1,0,1,1,0,0,0
4349,how many qatari citizens are there,313000,demography,1,0,1,1,0,0,1
2094,how many icar colleges in india,3,education,1,0,1,1,0,0,1
3785,how many schools participate in nslp,100000,education,1,0,1,1,0,0,1
5921,how many episodes of yu yu hakusho,112,entertainment,0,0,0,1,0,0,0
6032,how many zoey 101 episodes are there,61,entertainment,0,0,0,1,0,0,0
646,how many caves are in texas,3000,geography,0.25,0,0,1,0,0,1
767,how many counties in texas,254,geography,0,0,1,1,0,0,0
2292,how many inland lakes does wisconsin have,15074,geography,0.25,1,1,1,0,0,0
4527,how many rivers in india,8,geography,0.25,1,1,1,0,0,1
4663,how many satellites does earth have,2666,geography,1,0,0,1,0,0,1
3679,how many nursing homes in washington state,213,health,1,0,0,1,0,0,1
1025,how many died from spanish flu,675000,history,0,0,1,1,0,0,1
3489,how many mummies are in egypt,70000000,history,0.75,0,0,1,0,0,1
4335,how many pyramids in sudan,255,history,0,0,0,1,0,0,1
698,how many runways at cdg airport,4,infrastructure,0,0,0,1,0,0,1
1782,how many gas stations in manhattan,50,infrastructure,0.75,0,0,1,0,0,1
4115,how many pcns are there in england,1300,infrastructure,1,0,0,1,0,0,1
4034,how many opm chapters are there,113,literature,1,0,0,1,0,0,1
4226,how many poems did emily dickinson write,1800,literature,0,0,0,1,0,0,1
228,how many aoc french wines are there,300,organization,0.75,0,1,1,0,0,0
1648,how many fusion centers are in the united states,78,organization,1,0,1,1,0,0,1
2030,how many nhs employees,1400000,organization,1,0,1,1,0,0,1
4635,how many ruth chris restaurants are in the united states,82,organization,1,0,1,1,0,0,1
4703,how many employees does scm have,2900,organization,1,0,0,1,0,0,1
4782,how many lapd officers are there,9000,organization,1,0,1,1,0,0,1
5024,how many thai restaurants in usa,5342,organization,1,0,0,1,0,0,1
5185,how many ubl branches in pakistan,1390,organization,1,0,1,1,0,0,1
5884,how many wineries in santa ynez valley,120,organization,1,0,0,1,0,0,1
6046,how many zeta chapters are there,257,organization,1,0,1,1,0,0,1
6055,how many channels does zuku have,42,organization,0.75,0,1,1,0,0,0
645,how many caucuses are there in congress,165,politics,1,0,1,1,0,0,0
3407,how many mp in india,543,politics,1,0,1,1,0,0,1
3847,how many members did nwo have,62,sports,0,0,0,1,0,0,1
3949,how many eagle merit badges are there,21,sports,1,1,1,1,0,0,1
4228,how many ppf account in india,1,administration,1,0,1,0,0,0,1
176,how many algerian in usa,14716,demography,1,0,1,0,0,0,1
446,how many become navy seals,1000,demography,1,0,1,0,0,0,1
504,how many black people in america,42000000,demography,1,0,1,0,0,0,1
1929,how many high schoolers are in the us,56600000,demography,1,0,1,0,0,0,1
1944,how many hindus are there in the world,1200000000,demography,1,2,1,0,0,0,1
3199,how many ltc in texas,937419,demography,1,0,1,0,0,0,1
5619,how many widows in the united states,13700000,demography,1,0,1,0,0,0,1
3583,how many nbme exams are there,6,education,0,0,1,0,0,0,1
5066,how many died in tohoku earthquake,20000,history,0,0,1,0,0,0,1
898,how many cts wagons were made,7000,industry,0,0,1,0,0,0,1
1190,how many swift dzire sold in india,2.5,industry,1,0,1,0,0,0,1
1537,how many fgfa will india buy,250,industry,1,0,1,0,0,0,1
4738,how many sgr trains are there in kenya,30,industry,1,0,1,0,0,0,1
5112,how many tuk tuks in india,1500000,industry,1,0,1,0,0,0,1
225,how many aoa sensors on airbus,3,infrastructure,0,0,1,0,0,0,1
4430,how many rakat is maghrib,3,literature,0,0,1,0,0,0,1
490,how many bixby users,10000000,organization,1,0,1,0,0,0,1
2196,how many iglesia ni cristo members in the world,2250000,organization,1,0,1,0,0,0,1
5697,how many wwe network subscribers are there,1949000,organization,1,0,1,0,0,0,1
2723,how many kakapos are left in the world,142,wildlife,1,0,1,0,0,0,1
2273,how many barangays in imus cavite,97,administration,0.25,0,1,0,0,0,0
149,how many ak47 have been made,100000000,industry,1,0,0,0,0,0,1
5952,how many strokes does zao have,6,literature,0,0,0,0,0,0,1
2562,how many jio users in india,387500000,organization,1,0,0,0,0,0,1
3587,how many nbn connections,4,organization,1,0,0,0,0,0,1
5397,how many arrows for vah ruta,20,entertainment,0.75,0,1,0,0,0,1
1155,how many gates does dtw have,129,infrastructure,0,0,0,0,0,0,1
473,how many bhishma tank india have,464,organization,0.25,0,0,0,0,0,1
5080,how many tourists visited italy in 2019,63195203,demography,0,0,1,0,0,0,1
682,how many cctv cameras in london,627707,infrastructure,1,0,0,0,0,0,
339,how many rooms does aulani have,359,organization,0.75,0,1,0,0,0,
5425,how many rooms in vdara las vegas,1495,organization,0.25,0,1,0,0,0,
