"qid","query","answer_norm","comments","category","instances_req","qualifier_req"
2741,"how many students at liu post",15546,,"education",1,1
4439,"how many govt schools in delhi",2400,,"education",1,1
3625,"how many students at harvard",23731,,"education",1,1
1696,"how many kv schools in haryana",56,,"education",1,1
1819,"how many osmond brothers are still alive",2,"Count not available, instances helpful","entertainment",1,1
1817,"how many orville episodes are there",26,"In google KG ","entertainment",1,1
2200,"how many gacha life youtubers are there",146,"Time-bound","entertainment",1,1
1989,"how many elton john albums are there",79,"aggregation not available, list of album categories with counts available","entertainment",1,1
3217,"how many peter pan movies are there",5,"has semantic qualifiers, adaptaion vs series","entertainment",1,1
1806,"how many opm episodes are there",24,,"entertainment",1,1
4578,"how many rick and morty episodes",51,,"entertainment",1,1
2858,"how many mcu movies is captain america in",11,,"entertainment",1,1
685,"how many abyssian exam pass",5,,"entertainment",1,0
1758,"how many episodes of handmaid's tale",46,,"entertainment",1,1
2941,"how many members does mnl48 have",45,,"entertainment",1,1
351,"how many albums does eminem have",16,"multiple counts for semantic qualifiers","entertainment",1,1
3796,"how many rashtriy udyan in india",104,"list available, time-bound","geography",1,1
1254,"how many dhq in pakistan",34,,"health",1,1
1804,"how many ophthalmology practices are there in the us",18500,"multiple counts","health",1,1
1916,"how many cases of cjd in uk",65,"Time-bound, muliple counts by year","health",1,1
2871,"how many mdrt in singapore",4876,"Not available in result snippet. https://www.mdrt.org/globalassets/2-2021-top-10-countries-by-members.pdf","organization",1,1
903,"how many big bazaar stores in india",259,,"organization",1,1
1160,"how many crm companies are there",73,"instances In wikipedia, counts are not available","industry",1,1
1119,"how many cng pump in gorakhpur",21,,"industry",1,1
895,"how many bars are in milwaukee",3043,,"industry",1,1
3022,"how many mvnos in the us",139,,"industry",1,1
4548,"how many peugeot dealers are there in the uk",179,"old number","industry",1,1
1798,"how many onomatopoeia in japanese",1000,,"language",1,1
1413,"how many ied attacks in afghanistan",21637,"Time-bound","news",1,1
230,"how many homicides in milwaukee 2019",98,,"news",1,0
1092,"how many restaurants does coke have",,"instances (costa coffee) may be helpful, count unavailable","industry",1,1
2349,"how many hibbett sports stores are there",1082,"from google KG","organization",1,1
3801,"how many ugg brands in australia",,"different user intent-fake brands","organization",1,0
3325,"how many pwc offices in australia",9,"by entities, no counts","organization",1,0
3439,"how many rixos in dubai",4,,"organization",1,0
1379,"how many ibis hotels in paris",50,,"organization",1,0
222,"how many fbi agents are there 2020",13233,,"organization",1,1
4298,"how many ikea's are in the us",52,,"organization",1,1
481,"how many mayors in new york",110,"list available in wikipedia, time-bound","politics",1,1
2670,"how many panchayat in kujang block",1,"no count available, instance will be helpful","politics",1,1
1152,"how many cpm mla in west bengal",26,"count unavailable, instances may be helpful, time-bound","politics",1,1
234,"how many seats jsp won in 2019",1,,"politics",1,1
1653,"how many presidents named william",4,,"politics",1,1
3910,"how many seats vba won in vidhan sabha",0,,"politics",1,1
1652,"how many nsli semifinalists are there",200,"range, only approx","politics",1,0
2943,"how many seats mns won",1,,"politics",1,1
1294,"how many dnc members are there",200,,"politics",1,1
2622,"how many koch brothers",4,"instances available","social",1,1
3481,"how many rspca shelters are there in australia",15,"Difficult, aggregated answer not available, individual member shelters from wikipedia page","social",1,1
1919,"how many dwcra groups are there in india",1000000,"not enough information","social",1,1
1746,"how many odf states in india",7,"no authoratative site","social",1,1
1812,"how many orphanages in the us",0,,"social",1,1
496,"how many nba players have coronavirus",,"has entities, multiple counts, time-bound","sports",1,1
3189,"how many nolan ryan rookie cards exist",132,,"sports",1,1
3274,"how many population in texas",29000000,"Time-bound","demography",0,1
1633,"how many nri in canada",1780000,"Time-bound","demography",0,1
3810,"how many uk citizens are there",67880000,,"demography",0,1
1075,"how many cajuns in louisiana",815259,,"demography",0,1
1357,"how many hygienists per dentist in virginia",3,,"demography",0,1
176,"how many dbqs are on the apush exam 2020",1,,"education",0,1
2311,"how many students in gwinnett county schools",188000,,"education",0,1
4116,"how many confirmed cases of covid-19 in michigan",2330000,"Time-bound","health",0,1
1174,"how many cases of corona in ohio",2630000,"Time-bound","health",0,1
3965,"how many covid cases in houston",6470000,"Time-bound","health",0,1
3282,"how many positive cases in florida today",5750000,"Time-bound","health",0,1
1861,"how many honda cbx were made",41000,"one serac result answer, without aggregation","industry",0,1
650,"how many jeep yj were made",557412,,"industry",0,1
265,"how many ppv buys for ufc 250",90000,,"industry",0,1
3961,"how many employees does vmc have",108,,"organization",0,1
881,"how many azs in us-east-1",6,,"organization",0,1
3587,"how many trains does mrt have",579,,"industry",0,1
3822,"how many ukrainian soldiers have died",4629,"ambigous, multiple counts","politics",0,1
2511,"how many kaepernick shoes were sold",,"Non-entity","other",,
1170,"how many seats in honda crz",,"Non-entity","other",,
1940,"how many eating utensils are in the white house",,"Non-entity","other",,
1205,"mamy czas",,"Invalid question","other",,
354,"how many angles does a pentagon have",,"Non-entity","other",,
2990,"how many msq in arr",,"obscure","other",,
1128,"how many coke stocks are there",,"Non-entity.","other",,
724,"how many shares of ahbeesee were sold",,"Non-entity","other",,
1507,"how many irelands can fit in texas",,"not count related","other",,
2145,"how many floors are in the white house",,"Non-entity","other",,
2688,"how many kyber to stake",,"Non-entity","other",,
1579,"how many calories in giant jbc meal",,"Non-entity","other",,
1629,"how many times nrc in india",,"Non-entity","other",,
3207,"how many shots pcp air rifle",,"Non-entity","other",,
1549,"how many stocks in ivv",,"Non-entity","other",,
2520,"how many kayle in tft",,"Non-entity","other",,
3793,"how many kilometers udupi to malpe",,"Non-entity","other",,
194,"how many credits is nqf level 7",,"Non-entity","other",,
3475,"how many different rsa-1024 keys are there",,"Non-entity","other",,
4601,"how many km from tvm to kanyakumari",,"Non-entity","other",,
2668,"how many calories in kuey teow",,"Non-entity","other",,
2547,"how many calories are in ketchup",,"Non-entity","other",,
4642,"how many kilometres from zuurbekom to johannesburg",,"Non-entity","other",,
3219,"how many calories does pfc have",,"Non-entity","other",,
4523,"how many kilometres from moyale to ethiopia",,"Non-entity","other",,
2237,"how many calories in gfs cabbage rolls",,"Non-entity","other",,
3176,"how many nmc progression points are there",,"Non-entity","other",,
827,"how many atb assist materia",,"Non-entity","other",,
