"qid","query","answer.default","answer_norm","answer_corrected","answer_relation","answer_metric","category","time_variant","kg_instances","kg_has_qualifier","instances_req","qualifier_req","answer_enum"
3,"how many john wick movies are there",4,4,,"=",,"entertainment","yes",4,,1,0,"[John Wick, John Wick: Chapter 2, John Wick: Chapter 3 – Parabellum, John Wick: Chapter 4]"
4,"how many kids does cam newton have",4,4,,"=",,"social","yes",0,,1,0,"[Chosen Newton, Cashmere Newton, Camidas Newton, Caesar Newton, Sovereign-Dior Newton]"
6,"how many aot books are there",24,24,34,"=",,"books","no",7,,1,0,"[Attack on Titan]"
9,"how many jack reacher movies",2,2,,"=",,"entertainment","no",2,,1,0,"[Jack Reacher, Jack Reacher : Never Go Back]"
11,"how many jrr tolkien books are there","At least 34",34,48,">",,"books","no",5,,1,1,"[The Hobbit, the Fellowship of the Ring, The two Towers, The Return of the King, A Middle English Vocabulary] "
13,"how many kids does elon musk have",7,7,,"=",,"social","yes",0,,1,0,"[Nevada Musk, Xavier Musk, Griffin Musk, Kai Musk, Saxon Musk, Damian Musk, X AE A-XII Musk]"
16,"how many mythica movies are there",4,4,5,"=",,"entertainment","no",4,,1,0,"[Mythica: A quest for Heroes, Mythica: The Darkspore, Mythica: The Necromancer, Mythica: The Iron Crown, Mythica: The Godslayer]"
18,"how many times was kenny rogers married",5,5,,"=",,"social","no",1,,1,0,"[Janice Gordon, Jean, Margo Anderson, Marianne Gordon, Wanda Miller]"
20,"how many wives did solomon have",2,2,700,"=",,"social","no",2,,1,0,"[Naamah, Pharaoh’s daughter]"
22,"how many zombieland movies are there",2,2,,"=",,"entertainment","no",2,,1,0,"[Zombieland, Zombieland: Double Tap]"
25,"how many aot movies are there",5,5,14,"=",,"entertainment","yes",5,,1,0,"[Attack on Titan: Crimson Bow and Arrow, Attack on Titan: The Wings of Freedom, Attack on Titan: The Roar of Awakening, Attack on Titan: Chronicle]"
31,"how many beverly hills cop movies were made",4,4,,"=",,"entertainment","no",4,,1,0,"[Beverly Hills Cop, Beverly Hills Cop II, Beverly Hills Cop III]"
32,"how many bruce lee movies are there","At least 18",18,32,">",,"entertainment","no",5,,1,0,"[Enter the Dragon, Game of Death, Circle of Iron, Golden Gate Girl, Fist of Fury]"
36,"how many siblings does chris cuomo have",4,4,,"=",,"social","no",0,,1,0,"[Margaret Cuomo, Andrew Cuomo, Maria Cuomo, Madeline Cuomo]"
37,"how many siblings does steven adams have",4,4,18,"=",,"social","no",4,,1,0,"[Valarie Adams, Lisa Adams, Warrren Adams, Sid Adams Jr.]"
41,"how many husbands did joe exotic have",2,2,,"=",,"social","yes",2,,1,0,"[Travis Maldonado, Dilon Passage]"
44,"how many husbands did princess margaret have",1,1,,"=",,"social","no",1,,1,0,"[Antony Armstrong-Jones]"
45,"how many indiana jones movies are there",5,5,,"=",,"entertainment","no",5,,1,0,"[Raiders of the lost ark, The Temple of Doom, The Last crusade, The Kingdom of the crystal skull]"
48,"how many irrfan khan movies","At least 78",78,158,">",,"entertainment","no",7,,1,0,"[Angrezi Medium, Blackmail, Hindi Medium, Talvar, Piku]"
49,"how many films irrfan khan acted","At least 78",78,158,">",,"entertainment","no",5,,1,0,"[Angrezi Medium, Blackmail, Hindi Medium, Talvar, Piku]"
53,"how many james bond movies were made",26,26,,"=",,"entertainment","yes",5,,1,0,"[GoldenEye (1995), Tomorrow Never Dies (1997), The World Is Not Enough (1999), Die Another Day (2002), Casino Royale (2006)]"
54,"how many jane austen novels are there","At least 10",10,,">",,"books","no",5,,1,0,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan]"
56,"how many jane austen movies are there","At least 24",24,,">",,"entertainment","yes",7,,1,0,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan]"
57,"how many ntr movies","At least 39",39,32,">",,"entertainment","yes",5,,1,0,"[Aravindha Sametha, Jai Lava Kusa, Janatha Garage, Nannaku Prematho, Temper]"
59,"how many pacific rim movies are there",2,2,,"=",,"entertainment","no",2,,1,0,"[Pacific Rim, Pacific Rim: Uprising]"
61,"how many cheech and chong movies are there","At least 61",61,9,">",,"entertainment","no",7,,1,0,"[Up in smoke, Cheech and Chong’s Next Movie, Nice Dreams, Things are Tough All Over, Still Smokin]"
63,"how many eddie murphy movies are there","At least 50",50,,">",,"entertainment","yes",7,,1,0,"[The Haunted Mansion, Dr. Dolittle, Norbit, Shrek, Dreamgirls]"
66,"how many wives did king solomon have",2,2,700,"=",,"social","no",2,,1,0,"[Naamah, Pharaoh’s daughter]"
67,"how many wives did clint eastwood have",2,2,,"=",,"social","yes",2,,1,0,"""[Dina Eastwood, Maggie Johnson]"""
68,"how many gi joe movies are there",4,4,,"=",,"social","yes",4,,1,0,"[G.I. Joe: The Rise of Cobra (2009), G.I. Joe: Retaliation (2013), Snake Eyes: G.I. Joe Origins (2021), G.I. Joe: Ever Vigilant]"
70,"how many hannah montana movies are there","At least 13",13,1,">",,"entertainment","no",7,,1,0,"[Hannah Montana: The Movie]"
71,"how many hilo books are there",8,8,,"=",,"books","yes",5,,1,0,"[Hilo Book 1: The Boy Who Crashed to Earth, Hilo Book 2: Saving the Whole Wide World, Hilo Book 3: The Great Big Boom, Hilo Book 4: Waking the Monsters, Hilo Book 5: Then Everything Went Wrong]"
75,"how many john wayne movies","At least 92",92,,">",,"entertainment","no",7,,1,0,"[Dark Command, Reap the Wild Wind, Wake of the Red Witch, Fort Apache, She Wore a Yellow Ribbon]"
76,"how many john wayne movies are there","At least 92",92,,">",,"entertainment","no",7,,1,0,"[Dark Command, Reap the Wild Wind, Wake of the Red Witch, Fort Apache, She Wore a Yellow Ribbon]"
78,"how many jodi picoult books are there","At least 16",16,30,">",,"books","yes",5,,1,0,"[Leaving Time, Off the Page, Small Great Things, A Spark of Light, The Book of Two Ways]"
81,"how many john wick movies were made",4,4,,"=",,"entertainment","yes",4,,1,0,"[John Wick, John Wick: Chapter 2, John Wick: Chapter 3 – Parabellum, John Wick: Chapter 4]"
82,"how many novels did jane austen write","At least 10",10,,">",,"books","no",5,,1,0,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan]"
83,"how many novels did agatha christie write","At least 78",78,74,">",,"books","no",5,,1,1,"[The Mysterious Affair at Styles, Peril at End House, Peril at End House, Death on the Nile, And Then There Were None]"
84,"how many novels did stephen king write","At least 91",91,,">",,"books","no",5,,1,1,"[The Shining, Carrie, The Stand, The Long Walk, Cujo]"
86,"how many kids does nicky jam have",3,3,,"=",,"social","yes",0,,1,0,"[Yarimar Rivera, Joe Martin Rivera, Alyssa Rivera]"
92,"how many kubrick movies",18,18,,"=",,"entertainment","no",5,,1,0,"[Fear and Desire, Killer's Kiss, The Killing, Paths of Glory, Spartacus]"
93,"how many maeve kerrigan books are there",13,13,,"=",,"books","yes",5,,1,0,"[The Burning, The Reckoning, The Last Girl, Left For Dead, The Stranger You Know]"
94,"how many mib movies",4,4,,"=",,"entertainment","no",4,,1,0,"[Men in Black, Men in Black II, Men in Black 3, Men in Black: International]"
99,"how many movies is morgan freeman in","At least 94",94,,">",,"entertainment","yes",7,,1,0,"[Driving Miss Daisy, Glory, Robin Hood: Prince of Thieves, Unforgiven, The Shawshank Redemption]"
103,"how many novels did jane austen complete","At least 10",10,,">",,"books","no",5,,1,1,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan]"
105,"how many harry potter films",7,7,8,"=",,"entertainment","no",7,,1,0,"[Harry Potter and the Philosopher's Stone (2001), Harry Potter and the Chamber of Secrets (2002), Harry Potter and the Prisoner of Azkaban (2004), Harry Potter and the Goblet of Fire (2005), Harry Potter and the Order of the Phoenix (2007), Harry Potter and the Half-Blood Prince (2009), Harry Potter and the Deathly Hallows – Part 1 (2010), Harry Potter and the Deathly Hallows – Part 2 (2011)]"
106,"how many rio movies are there",2,2,,"=",,"entertainment","no",2,,1,0,"[Rio, Rio 2]"
109,"how many sailor moon movies are there",3,3,,"=",,"entertainment","no",3,,1,0,"[Sailor Moon R: The Movie, Sailor Moon S: The Movie, Sailor Moon SuperS: The Movie, Sailor Moon Eternal]"
115,"how many slugterra movies are there",4,4,,"=",,"entertainment","no",4,,1,0,"[Slugterra: Eastern Caverns, Slugterra: Into the Shadows, Slugterra: Return of the Elementals, Slugterra: Slug Fu Showdown (Video), Slugterra: Ghoul from Beyond]"
116,"how many siblings does donald trump have",4,4,,"=",,"social","no",0,,1,0,"[Maryanne Trump, Fred Trump Jr., Elizabeth Trump, Robert Trump]"
