"qid","query","answer.default","answer_relation","answer_norm","answer_corrected","answer_metric","category","time_variant","snippet_instances","snippet_has_qualifier","instances_req","qualifier_req","answer_enum"
5397,"how many aiims in india",13,"=",13,,,"education","yes",0,0,1,0,"[AIIMS Delhi, AIIMS Bhopal, AIIMS Bhubaneswar, AIIMS Jodhpur, AIIMS Patna, AIIMS Raipur, AIIMS Rishikesh, AIIMS Raebarely, AIIMS Nagpur, AIIMS Mangalgiri]"
5782,"how many bcf stores in australia","over 115","=",115,,,"organization",,0,0,1,0,"[Greenway Tuggeranont ACT, Bennets Green NSW, Armidale NSW, Blacktown Sydney, Auburn Sydney, Campbelltown Sydney, Bankstoen Sydney, Castle Hill Sydney, Belrose Sydney, Dubbo NSW]"
10903,"how many bhs stores in uk",163,"=",163,,,"organization",,0,1,1,1,"[Cardiff, Broadstairs, London, Cheltenham, Leeds]"
11340,"how many branches of utkarsh bank in india",499,"=",499,,,"organization",,0,0,1,1,"[Mumbai, Nagpur, Patna, Varanasi, Pune]"
5961,"how many buzzer beaters does jordan have","nine","=",9,,,"sports",,0,1,1,1,"[Chicago Bulls vs. Cleveland Cavaliers,Chicago Bulls vs. Utah Jazz,Chicago Bulls vs. Detroit Pistons,Chicago Bulls vs. Cleveland Cavaliers,Chicago Bulls vs. Atlanta Hawks]"
7238,"how many circuit courts are there in the us",12,"=",12,,,"politics",,0,1,1,1,"[First Circuit, Second Circuit, Third Circuit, Fourth Circuit, Fifth Circuit, Sixth Circuit, Seventh Circuit, Eight Circuit, Ninth Circuit, Tenth Circuit, Eleventh Circuit, Federal Circuit]"
9968,"how many commissioners does tsc have","nine","=",9,,,"organization",,0,1,1,1,
7388,"how many countries speak english",27,"=",27,67,,"demography","no",0,1,1,1,"[United States of America, England, Canada, Australia, New Zealand]"
4909,"how many czech players in nhl",40,"=",40,,,"sports",,0,1,1,1,"[Jakub Vorácek, David Pastrnak, Ondrej Palat, Tomas Hertl, Pavel Zacha]"
6187,"how many dams are in china",22104,"=",22104,,,"structure",,0,1,1,1,"[Baihetan Dam, Baise Dam, Lower Baoquan Dam, Upper Baoquan Dam, Three Gorges Dam, Ahai Dam, Ankang Dam, Baogang Tailings Dam, Baozhusi Dam, Bashan Dam]"
6226,"how many deserts are in the us","four","=",4,,,"geography","no",4,1,1,1,"[Great Basin, Mohave, Chihuahuan, Sonoran]"
6325,"how many drdo centre are there in india",50,"=",50,,,"organization",,0,1,1,1,"[Integrated Test Range, Naval Materials research Laboratory, Centre for Airborne Systems, Centre for Aitificial Intelligence and Robotics, Aeronautical Development Establishment]"
7002,"how many eagle scouts per year",47582,"=",47582,,,"social",,0,1,1,1,"[Neil Armstrong, Lee Berger, Guion Bluford, Thomas Cechz, Chris Pratt]"
6046,"how many employees does cn have",24000,"=",24000,,,"organization",,0,0,1,1,"[Robert Pace, Jean-Jacques Ruest, Margaret A. McKenzie]"
7607,"how many fijian islands are there",300,"=",300,,,"geography","no",1,1,1,1,"[Viti Levu, Vanua Levu, Taveuni Island, Ovalau, Rotuma, Malolo, Wakaya Island, Qalito Island, Mana Island, Beqa Island]"
6930,"how many floats nyx",44,"=",44,,,"social",,0,0,1,1,
11079,"how many ftas does south korea have",18,"=",18,,,"politics",,0,1,1,1,"[Chile, Singapore, India, European Free Trade Association, ASEAN]"
7707,"how many gap inc stores are there",3300,"=",3300,,,"organization",,0,1,1,1,
7878,"how many hawaiian islands are there total",137,"=",137,,,"geography","no",5,1,1,1,"[Hawaii, Maui, Oahu, Kauai, Molokai, Lanai, Niihau, Kahoolawe, Nihoa, Necker]"
7959,"how many hiqa standards are there",60,"=",60,,,"health",,0,1,1,1,
7995,"how many hof did kobe play with","eight","=",8,,,"sports",,0,0,1,1,
6463,"how many idbi branches in tamilnadu",84,"=",84,,,"organization",,0,0,1,0,
5007,"how many ieee fellows are there",5082,"=",5082,,,"organization",,0,0,1,1,"[Lance Kaplan, Wenjun Zhang, Jose Cruz, Narsingh Deo, Thomas Kailath, Gerhard M. Sessler, Reimund Gerhard, Edward Wolff, Anant Madabhushi, Jacek Zurada]"
6506,"how many ifrs standards are notified in india",41,"=",41,,,"politics",,0,0,1,1,
5028,"how many irish died in the famine","1 million","=",1000000,,,"demography","no",0,1,1,1,
6739,"how many jails are in virginia",41,"=",41,,,"architecture","yes",0,1,1,1,"[Abingdon Police Jail, Washington County Jail, Accomack County Jail, Alberta WA Police Jail, Amherst Police Jail]"
6767,"how many jci accredited hospitals in india",38,"=",38,,,"health","yes",0,1,1,1,
8008,"how many jobs does barbie have","over 200","=",200,,,"entertainment","yes",3,0,1,0,
11125,"how many jr stations in tokyo","five","=",5,,,"organization",,0,1,1,1,
8208,"how many kazon sects are there",18,"=",18,,,"entertainment",,1,0,1,1,"[Kazon-Ogla, Kazon-Oglamar, Kazon-Relora, Kazon-Nistrim, Kazon-Mostral, Kazon-Hobii, Kazon-Pommar]"
8434,"how many kylie jean books are there",8,"=",8,,,"entertainment",,0,1,1,1,
8452,"how many lakes in colorado",4000,"=",4000,,,"geography","no",0,0,1,1,"[Lake Granby, Horsetooth Reservoir, Blue Mesa Reservoir, Dillon Reservoir, Chatfield Reservoir, Green Mountain Reservoir, Lake San Cristobal, Shadow Mountain Lake]"
8494,"how many lee's chicken locations are there",135,"=",135,,,"organization",,0,1,1,1,
6482,"how many members does iehp have","1.25 million","=",1250000,,,"industry",,0,0,1,1,
8956,"how many methods of ndt are there","six","=",6,,,"industry",,6,1,1,1,
5117,"how many mvps does kobe bryant have","five","=",5,3,,"sports",,2,1,1,1,"[NBA Finals MVP, NBA All Star Game MVP]"
11015,"how many nato troops are in afghanistan",17000,"=",17000,,,"politics",,0,0,1,1,
5153,"how many nxt championships are there",17,"=",17,,,"sports",,0,1,1,1,
7060,"how many oompa loompas are in charlie and the chocolate factory",165,"=",165,,,"entertainment","no",1,0,1,1,
7069,"how many ophthalmologists in the united states",23861,"=",23861,,,"demography","yes",0,0,1,0,
7072,"how many opm ovas are there",6,"=",6,,,"entertainment",,0,1,1,1,
9326,"how many qurans",20,"=",20,,,"social",,2,1,1,1,
7383,"how many rings does elway have","two","=",2,,,"sports",,0,1,1,1,
11282,"how many rtc in the philippines",580,"=",580,959,,"politics",,0,0,1,1,
9577,"how many sacraments are there in the catholic church","seven","=",7,,,"social",,0,1,1,1,"[Baptism, Confirmation, Eucharist, Penance, Anointing of the Sick, Holy Orders, Matrimony]"
7858,"how many schools in gwinnett county",143,"=",143,,,"education","yes",0,1,1,1,
9651,"how many shlokas in valmiki ramayana",24000,"=",24000,,,"social",,0,1,1,1,
9673,"how many skoda dealers in the uk",12,"=",12,100,,"industry","yes",0,1,1,1,
9702,"how many small businesses in florida","2.5 million","=",2500000,,,"industry",,0,0,1,1,
5246,"how many sworn officers in lapd",9000,"=",9000,,,"demography","yes",0,1,1,1,
8928,"how many telstra stores in australia",360,"=",360,,,"organization",,0,1,1,1,
5250,"how many tgi fridays are there in the us","over 900","=",900,566,,"organization",,3,1,1,1,
4795,"how many tourists visited italy in 2019",63195203,"=",63195203,62962013,,"demography","no",0,1,1,1,
11335,"how many uob branches in indonesia",188,"=",188,,,"organization",,0,0,1,1,
11343,"how many us soldiers died in iraq",4424,"=",4424,,,"politics",,0,1,1,1,
10198,"how many utcs are there in the uk","over 14,000","=",14000,48,,"education","yes",0,0,1,1,
10795,"how many varieties of zoysia grass are there","three","=",3,,,"geography","no",3,1,1,1,
10247,"how many vatican museums are there",54,"=",54,,,"architecture","no",2,0,1,1,"[Pinacoteca Vaticana, Museo Pio-Clementino, Collection of Modern Religious Art, Museo Chiaramonti, Vatican Historical Museum]"
10784,"how many zones are in eritrea","six","=",6,,,"geography","no",0,1,1,1,"[Anseba, Debub (South), Debubawi K'eyih Bahri (Southern Red Sea), Gash Barka, Ma'akel (Central), Semenawi K'eyih Bahri (Northern Red Sea)]"
10789,"how many zones was germany divided into","four","=",4,,,"politics",,4,1,1,1,"[Soviet occupation zone, French occupation zone, British occupation zone, US occupation zone]"
4850,"how many ak47 have been made","100 million","=",100000000,,,"industry",,0,0,0,1,
10876,"how many algerian in usa",14716,"=",14716,,,"demography","yes",0,1,0,1,
5590,"how many aoa sensors on airbus","three","=",3,,,"other",,0,1,0,1,
6586,"how many barangays in imus cavite",97,"=",97,,,"politics",,0,0,0,0,
5809,"how many become navy seals",1000,"=",1000,250,,"demography","yes",0,1,0,1,
8159,"how many belts are there in jiu jitsu",8,"=",8,,,"social",,1,1,0,1,
5865,"how many bixby users","10 Million","=",10000000,,,"organization",,0,1,0,1,
5876,"how many black people in america","42 million","=",42000000,,,"demography","yes",0,1,0,1,
4901,"how many cts wagons were made",7000,"=",7000,,,"industry",,0,1,0,1,
9939,"how many died in tohoku earthquake",20000,"=",20000,,,"demography","no",0,1,0,1,
7594,"how many fgfa will india buy",250,"=",250,144,,"industry",,0,1,0,1,
7944,"how many high schoolers are in the us","56.6 million","=",56600000,,,"demography","yes",0,1,0,1,
7956,"how many hindus are there in the world","1.2 billion","=",1200000000,,,"demography","yes",2,1,0,1,
6528,"how many iglesia ni cristo members in the world","2.25 million","=",2250000,,,"organization",,0,1,0,1,
8059,"how many isa can you have","four","=",4,,,"social",,0,1,0,1,
8048,"how many jio users in india","387.5 million","=",387500000,,,"organization",,0,0,0,1,
8184,"how many kakapos are left in the world",142,"=",142,,,"wildlife",,0,1,0,1,
8604,"how many ltc in texas",937419,"=",937419,,,"social",,0,1,0,1,
8923,"how many nbme exams are there",6,"=",6,,,"education","no",0,1,0,1,
8926,"how many nbn connections","four","=",4,,,"organization",,0,0,0,1,
11257,"how many ppf account in india","one","=",1,,,"social",,0,1,0,1,
9380,"how many rakat is maghrib",3,"=",3,,,"social",,0,1,0,1,
9640,"how many sgr trains are there in kenya",30,"=",30,,,"industry",,0,1,0,1,
10718,"how many strokes does zao have",6,"=",6,,,"other",,0,0,0,1,
7263,"how many swift dzire sold in india","2.5 lakh units","=",2.5,,,"industry","yes",0,1,0,1,
9978,"how many tuk tuks in india","1.5 million","=",1500000,,,"industry","yes",0,1,0,1,
10431,"how many widows in the united states","13.7 million","=",13700000,,,"demography","yes",0,1,0,1,
10486,"how many wwe network subscribers are there","1.949 million","=",1949000,,,"organization",,0,1,0,1,
10899,"how many bcc can you send in yahoo",100,"=",100,,,"other",,,,,,
11042,"how many cctv cameras in london",627707,"=",627707,,,"other",,,,,,
6342,"how many data fields in dso",16,"=",16,,,"other",,,,,,
7874,"how many haploid cells are produced during meiosis i","four","=",4,,,"other",,,,,,
10894,"how many miles from auckland to wellington",305,"=",305,,,"other",,,,,,
11252,"how many miles from phoenix to sedona",119,"=",119,,,"other",,,,,,
9208,"how many points in ppr league","as many as 30","=",30,,,"other",,,,,,
5696,"how many rooms does aulani have",359,"=",359,,,"other",,,,,,
11345,"how many rooms in vdara las vegas",1495,"=",1495,,,"other",,,,,,
10523,"how many units of xeomin for glabellar",20,"=",20,,,"other",,,,,,
8328,"knn how many features","two","=",2,,,"other",,,,,,
10390,"wcf how many instances","one","=",1,,,"other",,,,,,
